cat_type,category,subcategory,Fiscal 2021/22 Q4,Fiscal 2022/23 Q1,Fiscal 2022/23 Q2,Fiscal 2022/23 Q3,Fiscal 2022/23 Q4
Spirits,Asian Spirits,China Spirits,"$1,413,830","$1,705,567","$1,018,784","$1,628,744","$1,335,970"
Spirits,Asian Spirits,Korea Spirits,"$1,133,764","$1,361,164","$982,171","$1,600,847","$1,305,191"
Spirits,Asian Spirits,Other Country Asian Spirits,"$189,455","$166,510","$136,863","$241,222","$149,634"
Spirits,Gin,Dry Gin,"$10,522,054","$15,388,552","$16,680,254","$16,028,058","$11,048,287"
Spirits,Gin,Flavoured Gin,"$1,036,194","$1,679,037","$1,654,658","$1,461,769","$898,417"
Spirits,Gin,Other Gin,"$464,933","$530,155","$638,681","$699,861","$469,567"
Spirits,Grape and Fruit Brandy,Armagnac,"$129,028","$46,629","$39,502","$160,271","$168,097"
Spirits,Grape and Fruit Brandy,Brandy,"$2,367,067","$2,433,311","$2,006,840","$3,819,330","$2,196,191"
Spirits,Grape and Fruit Brandy,Cognac,"$2,482,239","$2,837,134","$2,148,001","$4,313,175","$2,548,416"
Spirits,Grape and Fruit Brandy,Eau de Vie,"$196,062","$419,570","$209,354","$405,605","$238,699"
Spirits,Grape and Fruit Brandy,Grappa And Marc,"$71,416","$81,634","$51,347","$130,043","$71,564"
Spirits,Grape and Fruit Brandy,Pisco,"$101,091","$114,010","$96,138","$164,233","$105,858"
Spirits,Liqueurs,Anise And Herbal/Spice Liqueurs,"$7,651,475","$9,363,445","$7,622,633","$11,837,081","$8,402,226"
Spirits,Liqueurs,Coffee And Cocoa Liqueurs,"$1,448,185","$1,915,480","$1,802,352","$3,588,010","$1,617,615"
Spirits,Liqueurs,Cream/Dairy Liqueurs,"$6,608,879","$8,206,750","$8,165,807","$23,991,436","$6,370,929"
Spirits,Liqueurs,Fruit Liqueurs,"$4,591,610","$6,074,033","$6,059,357","$7,153,401","$5,093,348"
Spirits,Liqueurs,Nut Liqueurs,"$1,236,941","$1,756,331","$1,694,919","$2,182,890","$1,260,482"
Spirits,Liqueurs,Other Liqueurs,"$875,993","$1,128,801","$1,049,965","$1,528,604","$939,744"
Spirits,Liqueurs,Whiskey Liqueurs,"$1,382,822","$1,522,816","$1,253,170","$1,879,759","$1,457,130"
Spirits,Other Spirits,Cachaca,"$14,264","$65,712","$47,904","$43,183","$34,535"
Spirits,Other Spirits,Flavoured Spirits,"$86,171","$160,878","$170,943","$400,100","$70,209"
Spirits,Other Spirits,Miscellaneous/Other Spirits,"$259,938","$336,682","$292,724","$411,042","$236,052"
